Time,Ask,Bid,AskVolume,BidVolume
05.11.2012 00:07:37.515,1.28248,1.28243,1.50,1.50
05.11.2012 00:07:37.575,1.28252,1.28243,2.48,1.50
05.11.2012 00:07:37.635,1.28251,1.28241,1.73,2.48
05.11.2012 00:07:37.815,1.28251,1.28241,1.73,1.50
05.11.2012 00:07:38.174,1.28251,1.28240,2.48,2.48
05.11.2012 00:07:38.875,1.28251,1.28240,2.48,2.48
05.11.2012 00:07:43.676,1.28250,1.28241,1.73,1.25
05.11.2012 00:07:45.467,1.28245,1.28241,1.50,1.25
05.11.2012 00:07:45.646,1.28243,1.28236,1.73,1.50
05.11.2012 00:07:45.706,1.28243,1.28236,4.09,1.50
05.11.2012 00:07:46.124,1.28239,1.28231,1.73,1.25
05.11.2012 00:07:46.305,1.28237,1.28231,1.50,1.25
05.11.2012 00:07:46.425,1.28236,1.28227,3.23,3.13
05.11.2012 00:07:47.105,1.28234,1.28226,1.73,1.25
05.11.2012 00:07:47.224,1.28234,1.28225,2.48,2.75
05.11.2012 00:07:47.703,1.28234,1.28226,1.73,1.25
05.11.2012 00:07:48.265,1.28236,1.28227,2.48,1.50
05.11.2012 00:07:55.335,1.28235,1.28226,2.48,1.73
05.11.2012 00:07:55.454,1.28235,1.28226,2.48,1.50
05.11.2012 00:07:55.646,1.28236,1.28227,3.98,2.25
05.11.2012 00:07:56.066,1.28236,1.28227,1.73,2.48
05.11.2012 00:07:56.126,1.28236,1.28229,1.50,3.83
05.11.2012 00:07:56.485,1.28242,1.28234,3.71,1.50
05.11.2012 00:07:57.111,1.28243,1.28234,1.73,2.25
05.11.2012 00:07:58.825,1.28245,1.28236,3.23,1.50
05.11.2012 00:08:06.944,1.28245,1.28236,1.73,1.50
05.11.2012 00:08:07.127,1.28247,1.28238,1.80,2.10
05.11.2012 00:08:07.196,1.28249,1.28242,4.46,1.50
05.11.2012 00:08:07.257,1.28249,1.28242,4.46,1.50
05.11.2012 00:08:07.378,1.28250,1.28243,1.73,1.50
05.11.2012 00:08:07.685,1.28252,1.28245,1.73,1.50
05.11.2012 00:08:07.809,1.28254,1.28248,2.48,1.50
05.11.2012 00:08:07.875,1.28256,1.28248,2.25,1.50
05.11.2012 00:08:08.245,1.28258,1.28254,3.15,1.50
05.11.2012 00:08:08.705,1.28259,1.28254,2.25,1.50
05.11.2012 00:08:08.775,1.28262,1.28254,1.73,1.50
05.11.2012 00:08:09.376,1.28259,1.28249,3.98,1.50
05.11.2012 00:08:09.436,1.28257,1.28251,1.65,1.50
05.11.2012 00:08:09.555,1.28254,1.28247,1.80,1.88
05.11.2012 00:08:09.690,1.28252,1.28246,1.05,1.28
05.11.2012 00:08:10.055,1.28251,1.28243,1.73,1.50
05.11.2012 00:08:10.674,1.28252,1.28244,1.73,1.50
05.11.2012 00:08:10.854,1.28254,1.28245,5.96,2.25
05.11.2012 00:08:11.276,1.28254,1.28245,1.88,2.25
05.11.2012 00:08:11.576,1.28255,1.28248,3.48,1.50
05.11.2012 00:08:11.814,1.28258,1.28249,2.48,1.50
05.11.2012 00:08:12.056,1.28257,1.28250,1.73,1.50
